,index,Name,Marginal likelihood,Standard deviation
0,11,UCLN_het_001,-4714.417956511112,3.9641578287699453
1,10,UCLN_het_002,-4718.79376934808,4.008344919782113
2,9,UCLN_het_003,-4718.718843618917,3.9969890636552936
3,1,UCLN_iso_001,-4755.51775199401,4.15627164942617
4,2,UCLN_iso_002,-4750.843568098667,3.9594204252718823
5,0,UCLN_iso_003,-4747.751276741699,3.931950179855389
6,6,strict_het_001,-4711.11877338462,3.8691648288029454
7,8,strict_het_002,-4719.005615045078,4.0023840415783605
8,7,strict_het_003,-4722.639679956258,3.950505854844993
9,4,strict_iso_001,-4736.991885744722,4.039100714120919
10,5,strict_iso_002,-4751.036875500439,4.143288004337725
11,3,strict_iso_003,-4753.968632002133,4.140785742284731
